ID_PROYECTO,RUT_PROYECTO,RUT_PROYECTO_PROMESA,NOM_PROYECTO,NOM_LEGAL,NOM_LEGAL_PROMESA,NOMBRE_BANCO,ACTIVO,HORARIO_ATENCION_PROYECTO,CTACTE,CALLE,CIUDAD,CODIGO_POSTAL,REGION,COMUNA,NUM_EXTERIOR,NUM_INTERIOR,PAIS,REFERENCIA,HORARIO_ATENCION,FECHA_ESCRITURA,FECHA_INICIO,FECHA_TERMINO,PORCENTAJE_AVANCE,PORCENTAJE_MULTA,EVALUACION_PLANA,EMPRESA_ASEGURADORA,MONTO_POLIZA_SEGURO,PRECIO_VENTA_OBJETIVO_PONDERADO,PRECIO_VENTA_OBJETIVO_UTIL,SUBSIDIO,TASA,TASA_HIP,TELEFONO2,TELEFONO1,TELEFONO_AMC,EMAIL,EMAIL_2,SITIO_WEB,VERSION,DESCRIPCION,URL_LOGO,URL_IMAGEN_1,URL_IMAGEN_2,URL_IMAGEN_3,ELIMINADO,FECHA_REGISTRO_PROYECTO,DIVIDENDO_ANIOS1,DIVIDENDO_ANIOS2,DIVIDENDO_ANIOS3
11,1-9,,BUENA VISTA,BUENA VISTA,BUENA VISTA,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",,,,,,,,,,,,0.0450000000,0.0450000000,,,,,,,4,,,,,,0,2019-01-26 00:00:00,25,20,30
12,76.954.681-2,76.954.681-2,Condominio Parque Lircay,Condominio Parque Lircay,WALK TALCA,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2021-03-31 12:00:00,2019-07-08 12:00:00,2020-12-31 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,,,,,,13,,,,,,0,2020-11-24 20:30:10,25,20,30
13,76.954.686-3,76.954.686-3,Condominio Parque Las Palmas I,Condominio Parque Las Palmas I,WALK SAN JAVIER ETAPA I,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2021-01-31 12:00:00,2019-06-28 12:00:00,2020-11-30 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,,,,,,12,,,,,,0,2020-11-24 20:30:10,25,20,30
14,77.012.087-K,77.012.087-K,WALK SAN JAVIER II,WALK SAN JAVIER II,WALK SAN JAVIER II,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2022-01-31 12:00:00,2020-05-16 12:00:00,2021-11-30 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,,,,,,12,,ifai/proyectos/14/archivos/WALKSANJAVIERII_LOGO.png,,,,0,2020-11-24 20:30:10,25,20,30
15,76.954.691-K,76.954.691-K,Condominio Nuevo Centro III,Condominio Nuevo Centro III,WALK LINARES I,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2021-02-28 12:00:00,2019-07-29 12:00:00,2020-12-30 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,,,,,,11,,,,,,0,2020-11-24 20:30:10,25,20,30
16,76.954.691-K,76.954.691-K,Nuevo Centro I,WALK LINARES II,WALK LINARES II,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2022-01-31 12:00:00,2019-07-29 12:00:00,2025-10-31 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,,,,,,12,,,,,,0,2020-11-24 20:30:10,25,20,30
17,77.012.092-6,77.012.092-6,WALK PARRAL,WALK PARRAL,WALK PARRAL,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2022-01-31 12:00:00,2020-05-13 12:00:00,2021-10-30 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,,,,,,12,,ifai/proyectos/17/archivos/WALKPARRAL_LOGO.png,,,,0,2020-11-24 20:30:10,25,20,30
18,76.993.875-3,76.993.875-3,EQUILIBRIO,FAI URREJOLA SPA,Fai Urrejola SpA.,BANCO BCI,1,1,10686304,Avenida Maria 6470,Santiago,0,,La Cisterna,0,,Chile,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);""><b>Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></b></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b>de 10:00 a 19:00 horas.</b></span><br></span></font></div>",2023-07-30 12:00:00,2020-07-30 12:00:00,2023-04-30 12:00:00,0.2387000000,,,,,,,,0.0450000000,0.0450000000,,+56975196887,,equilibrio@ifai.cl,,,32,,ifai/proyectos/18/archivos/EQUILIBRIO_LOGO.jpg,,,,0,2020-07-30 11:51:03,25,20,30
19,77.041.893-3,77.041.893-3,EDIFICIO RAICES,Inmobiliaria San Agustin de Talca Spa ,Inmobiliaria San Agustin de Talca Spa ,,1,1,,,,0,,,0,,,,"<b><font size=""2"" =""arial""="""">Horario de atención:</font></b><div><font size=""2"" =""arial""=""""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2022-05-30 12:00:00,2020-10-01 12:00:00,2023-11-30 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,+56 9 3952 8352,,edificioraices@ifai.cl,agustin.spoerer@flesan.cl,,29,,ifai/proyectos/19/archivos/EDIFICIORAICES_LOGO.png,,,,0,2020-11-24 20:30:10,25,20,30
20,77.081.172-4,77.081.172-4,O2 ALAMEDA,FAI CENTRAL SPA,O2 ALAMEDA,,1,1,,Av Libertador Bernardo Ohiggins 4361,Santiago,0,,Estación Central,0,,Chile,,"<b><font =""arial""="""" size=""2"">Horario de atención:</font></b><div><font =""arial""="""" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);""><b>Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></b></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b>de 10:00 a 19:00 horas.</b></span><br></span></font></div>",2023-06-30 12:00:00,2020-09-30 12:00:00,2023-09-30 12:00:00,0.1310000000,,,,,,,,0.0450000000,0.0450000000,,+5697519 6370,,edificioo2@ifai.cl,,,45,,ifai/proyectos/20/archivos/O2ALAMEDA_LOGO.png,,,,0,2020-09-10 17:33:41,25,20,30
21,1-8,1-8,Test EyR PostVenta,Test EyR PostVenta,Test EyR PostVenta,,1,1,,,,0,,,0,,,,,2022-10-28 12:00:00,2020-10-01 12:00:00,2022-10-28 12:00:00,,,,,,,,,0.0300000000,0.0300000000,,,,,,,5,,,,,,0,2020-10-21 09:34:48,25,20,30
22,76.891.224-6,76.891.224-6,Condominio La Reina,Condominio La Reina,Condominio La Reina,,1,1,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,2021-03-18 17:19:11,25,20,30
23,77.122.372-9,77.122.372-9,VISTAPARK,FAI RUPANCO SPA,Fai Rupanco SpA,,1,1,,Rupanco 395,Santiago,0,,La Florida,0,,Chile,,,2023-11-30 12:00:00,2021-04-30 12:00:00,2023-12-31 12:00:00,0.0500000000,,,,,,,,0.0450000000,0.0450000000,,+56 9 5015 3813,,vistapark@ifai.cl,,,33,,ifai/proyectos/23/archivos/VISTAPARK_LOGO.png,,,,0,2021-03-23 12:21:34,25,20,30
24,77.081.167-8,77081.167-8,MOVE,FAI FRANKLIN SPA,FAI Franklin SpA,,1,1,,Franklin 318,Santiago,0,,Santiago,0,,Chile,,,2024-06-30 12:00:00,2021-05-30 12:00:00,2023-05-30 12:00:00,0.0100000000,,,,,,,,0.0450000000,0.0450000000,,56 9 75196796,,move@ifai.cl,,,27,,ifai/proyectos/24/archivos/MOVE_LOGO.jpg,,,,0,2021-04-30 09:41:46,25,20,30
25,77.142.116-4,77.142.116-4,Walk Gacitua,Inmobiliaria y Const Fai Plaza Oriente I Spa ,Inmobiliaria y Const Fai Plaza Oriente I Spa ,BANCO SANTANDER-CHILE,1,1,78023988,av gacitua 275,Chillan,0,,Chillán Viejo,0,,Chile,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""400"" style=""border-collapse:
 collapse;width:300pt""><tbody><tr height=""21"" style=""height:15.75pt"">
  <td height=""21"" class=""xl63"" width=""400"" style=""height:15.75pt;width:300pt"">Lunes a
  Viernes&nbsp; de 10:00 a 18:30 horas.</td></tr></tbody></table>",2023-01-01 12:00:00,2021-08-01 12:00:00,2022-12-31 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,56996162010,,,,,8,,ifai/proyectos/25/archivos/WalkGacitua_LOGO.png,,,,0,2021-08-26 14:34:05,25,20,30
26,76.882.505-0,,FAN,INMOBILIARIA QUINCHAMALI SPA,,,1,1,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,2021-11-26 11:14:41,25,20,30
27,76.761.005-K,,Campaña Verano,Campaña Verano,Campaña Verano,,1,1,,,,0,,,0,,,,,2022-12-31 12:00:00,2021-12-28 12:00:00,2022-12-31 12:00:00,,,,,,,,,,,,,,,,,2,,,,,,0,2021-12-28 12:23:44,25,20,30
28,76.882.505-K,,FAN,INMOBILIARIA QUINCHAMALI SPA,,,1,1,,QUINCHAMALI 3130,Santiago,0,,Macul,0,,Chile,,,2024-07-30 12:00:00,2022-03-05 12:00:00,2024-09-30 12:00:00,,,,,,,,,0.0350000000,0.0350000000,,+56944673565,,fan@ifai.cl,,,31,,,,,,0,2022-03-02 13:31:03,25,20,30
29,77.363.661-3,,LIVE,FAI LAS DALIAS SPA,,,1,1,,RODRIGO DE ARAYA 2036,Ñuñoa,0,,Santiago,0,,Chile,,,2024-01-31 12:00:00,2022-03-05 12:00:00,2024-10-30 12:00:00,0E-10,,,,,,,,0.0450000000,0.0450000000,,,,live@ifai.cl,,,25,,,,,,0,2022-03-03 09:25:30,25,20,30
30,76.896.595-1,,Campaña OPEN ALEMANIA,campaña INMOBILIARIA ALTO ALEMANIA DOS SPA,campaña INMOBILIARIA ALTO ALEMANIA DOS SPA,BANCO BCI,1,1,66119081,,,0,,,0,,,,,2023-01-31 12:00:00,2018-01-31 12:00:00,2022-12-31 12:00:00,,,,,,,,,,,,+56 9 7519 6812,,openalemania@ifai.cl,,,1,,,,,,0,2022-03-17 12:23:59,25,20,30
31,77.363.661-3,77.363.661-3,Campaña Live,Campaña Live,,,1,1,,,,0,,,0,,,,,2024-04-30 12:00:00,2022-03-05 12:00:00,2024-10-31 12:00:00,,,,,,,,,,,,,,,,,1,,,,,,0,2022-03-24 10:53:07,25,20,30
32,76.882.505-K,,Campaña Fan,Campaña Fan,Campaña Fan,,1,1,,,,0,,,0,,,,,2024-05-31 12:00:00,2022-03-05 12:00:00,2024-05-31 12:00:00,,,,,,,,,,,,,,,,,1,,,,,,0,2022-03-24 10:54:29,25,20,30
33,77.081.172-4,77.081.172-4,Campaña O2,Campaña O2,Campaña O2,,1,1,,,,0,,,0,,,,,2024-05-31 12:00:00,2022-03-05 12:00:00,2024-05-31 12:00:00,,,,,,,,,,,,,,,,,1,,,,,,0,2022-03-24 10:55:25,25,20,30
34,77.122.372-9,77.122.372-9,Campaña Vista Park,Campaña Vista Park,Campaña Vista Park,,1,1,,,,0,,,0,,,,,2024-05-31 12:00:00,2022-03-05 12:00:00,2024-05-31 12:00:00,,,,,,,,,,,,,,,,,1,,,,,,0,2022-03-24 10:57:17,25,20,30
35,76.993.875-3,76.993.875-3,Campaña Equilibrio,Campaña Equilibrio,Campaña Equilibrio,,1,1,,,,0,,,0,,,,,2024-05-31 12:00:00,2022-03-05 12:00:00,2024-05-31 12:00:00,,,,,,,,,,,,,,,,,2,,,,,,0,2022-03-24 10:58:11,25,20,30
36,76.991.583-4,,Campaña More,Campaña More,Campaña More,,1,1,,,,0,,,0,,,,,2022-10-31 12:00:00,2020-01-01 12:00:00,2022-08-31 12:00:00,,,,,,,,,,,,,,,,,1,,,,,,0,2022-03-30 13:03:52,25,20,30
37,77.081.167-8,,Campaña Move,Campaña Move,Campaña Move,,1,1,,,,0,,,0,,,,,2024-01-31 12:00:00,2021-05-30 12:00:00,2023-05-23 12:00:00,,,,,,,,,,,,,,,,,1,,,,,,0,2022-03-30 13:14:22,25,20,30
38,76.991.587-7,,Campaña Armonía,Campaña Armonía,Campaña Armonía,,1,1,,,,0,,,0,,,,,2023-02-28 12:00:00,2020-01-01 12:00:00,2023-01-01 12:00:00,,,,,,,,,,,,,,,,,1,,,,,,0,2022-03-30 13:15:12,25,20,30
39,36130823-9,,Prueba Soporte,Prueba Soporte,prueba,,1,1,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2022-04-27 12:23:39,25,20,30
40,77142122-9,,Condominio Atalaya,Inmb. y constructora FAI Plaza oriente II SpA,,BANCO SANTANDER-CHILE,1,1,78022329,Avenida Las Rastras 3390,Talca,0,,Talca,0,,Chile,,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"" style=""border-collapse:
 collapse;width:196pt""><tbody><tr height=""21"" style=""height:16.0pt"">
  <td height=""21"" class=""xl67"" width=""261"" style=""height:16.0pt;width:196pt"">Lunes a
  Viernes de 10:00 a 19:00 horas</td></tr></tbody></table>",2025-04-30 12:00:00,2022-04-20 12:00:00,2025-07-30 12:00:00,0E-10,0.1000000000,,,,,,,0.0450000000,0.0450000000,,,,,,https://www.portalinmobiliario.com/venta/departamento/talca-maule/10503-condominio-atalaya-nva,3,,,,,,0,2022-04-28 17:00:06,25,20,30
41,77257623-4,77257623-4,MEET,FAI MIRIARTE SPA,FAI MIRIARTE SPA,SCOTIABANK,1,1,979855184,,,0,,,0,,Chile,,,2025-12-29 12:00:00,2022-10-18 12:00:00,2025-12-29 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,56997795218,,,,,8,,,,,,0,2022-10-18 12:47:12,25,20,30
42,65.216.645-8,65.216.645-8,Condominio Parque Las Palmas II,Condominio Parque Las Palmas II,Condominio Parque Las Palmas II,,1,1,,Adriana García Ibáñez 2078,San Javier,0,,San Javier,0,,Chile,,,2022-11-09 12:00:00,2020-11-09 12:00:00,2022-11-09 12:00:00,0.3000000000,,,,,,,0.03000000,0.0300000000,0.0300000000,5698778295,5698778295,,condominioparquelaspalmasdos@gmail.com,condominioparquelaspalmasdos@gmail.com,,3,,,,,,0,2022-11-11 15:36:55,25,20,30
